text,language,
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,kannanda,
Sir naanu helabekiddanna thumba channagi helidira. Nimma mathugalashte sumadura hrudaya sparshi agide. Pls yelladru nodi 1 sala adru. Olle anubhava beku antha iroru...,kannanda,
ಬೋಡ ಶೀರಾ ಅಭಿಮಾನಗಳು ಇಲ್ಲಿ ಲೈಕ್ ಮಾಡಿ,kannanda,
Super rakist  setty,kannanda,
ಬಹಳ  ಸೂಪರ್ ಗಿ  ಬೈದ್ದಿದ್ದಾರ   ಅಣ್ಣ,kannanda,
sir in Mamata kotigobba,kannanda,
Shivu Patil,kannanda,
Hello Hindi song,kannanda,
I feel sandalwood have not lost shankarnag after seeing RS2,kannanda,
@Nandi Parthasarathi nimmvga nimmkga ittini illi ninuge 50%off ba,kannanda,
Super video ಜೈ ಹಿಂದ್ ಜೈ ಭಾರತ ಮಾತೆ,kannanda,
Super movie sir,kannanda,
Super  song,kannanda,
ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಕನ್ನಡದ ಬೆಲೆ ಕಟ್ಟಲಾಗದ ಮಾಣಿಕ್ಯ,kannanda,
ಉತ್ತರ ಕನ್ನಡದ ಹೆಮ್ಮೆ ಯ ನಟ್ and ನಮ್ಮ ಮೆಚ್ಚಿನ,kannanda,
Yes bro tiktok ban agbeku.,kannanda,
Anna super agi edit madidiya,kannanda,
ಚಿನಾ ಎನನಾ ಉತ್ಪಾದನೆ  ಮಾಡಲಿ ನಿನು ನಿನದೇಶ ಉತ್ಪಾದನೆ ಮಾಡಿದ ವಸ್ತುಗಳು ಉಪಯೊಗಿಸು  ನಮ್ಮ ಗಿಂತ ದೊಡ್ಡದೆನು ಅಲ್ಲ  ಭಾರತೀಯರನ್ನು  ನಿನ್ನ ಅತಿ ಬುದಿವಂತಿಕೆಯಿಂದ ಕಿಂಚಪರಿಚಬೆಡ,kannanda,
Supr song,kannanda,
Move chenagi irli hero ge olledagli  tumbane kasta padta I dareP,kannanda,
Pakka Engeneering Mind Bro ....Song,kannanda,
ಡಿ ಬಾಸ್ ಅಭಿಮಾನಿಗಳ ಕಡೆಯಿಂದ ಆಲ್ ದೀ ಬೆಷ್ಟ ಸೂಪರ್ ಟ್ರೇಲರ,kannanda,
ನಿಮಗೆ ಭಗವಂತನ ಅನುಗ್ರಹ ಅನವರತ ಇರಲಿ.n....nಇವತ್ತಿಗೂ ನಮ್ಮದು ಮೈಸೂರು ಸಂಸ್ಥಾನವೇ. ಮಹಾರಾಜರನ್ನು ಹೊರಗಿಟ್ಟು ಈ ಕಳ್ಳ ರಾಜಕಾರಣಿಗಳು ಮಾಡುವ ದಸರಾ ಮೆರವಣಿಗೆನೂ ಒಂದು ಮೆರವಣಿಗೆನೇ? ಯಾವತ್ತೂ ಸಾಧ್ಯವಿಲ್ಲ.... ಇನ್ನಾದರೂ ಎಚ್ಛೆತ್ತು ಕೊಳ್ಳಿ...,kannanda,
@TROLL MONSTER_KANNADA adikke hendhi kivi na hardu jail ge hoda sule maga yaruu,kannanda,
Hands up nahi Hands down,kannanda,
Osm voice sir,kannanda,
Just say WOW,kannanda,
Sir prajakeeya'kke support madi sir daily 30sec adru adra bagge heli start madi sir pls eno help agutte subscriber bahala jana ide,kannanda,
Wow .... diya soop.,kannanda,
Moorne kgf 2,kannanda,
ಹಾಡು ಅತ್ಯದ್ಭತವಾಗಿ ಬಂದಿದೆ.. ಸಾಹಿತ್ಯ ತುಂಬಾ ಗಟ್ಟಿಯಾಗಿ ಇದೆ..,kannanda,
Super Answer s,kannanda,
Tiktok ....byan agiddu olledu aythu anna,kannanda,
Supar sangs ..,kannanda,
Yarige e trailer nodidre Rangitharanga movie nenpaytu like madi,kannanda,
Bossu niv greatu,kannanda,
@sathish chandra 🤣Naan kelv comment noDidakke heliddu,kannanda,
ಸೂಪರ್ ಸಾಂಗ್ ಹುಚ್ಚೆಬ್ಬಿಸುವ ಸಾಂಗ್,kannanda,
Love u junior D Boss,kannanda,
Song is amazing,kannanda,
BGM chindi,kannanda,
Best film ide sirr love u alla ಯಾಕೆ ಇ film ಇಷ್ಟ ಅಂದ್ರೆ ಇದರಲ್ಲಿ ಬರುವ ಪಾತ್ರ ನಮ್ಮ್ಗ ಎನೂ link ಇದೇ ಅನ್ನೋ ಥರ ಇದೆ supper sir,kannanda,
Bro aa game  name  heli,kannanda,
Super  song,kannanda,
@Raja Vishnuvardhana yarge agli 1st respect kododu mukya,kannanda,
Pora rai koodi tulla,kannanda,
ರಶ್ಮಿಕಾ ಮಂದಣ್ಣಳಿಗೆ ದೆಂ,kannanda,
Defenetely rakshit shetty,kannanda,
Idu yava game bro,kannanda,
Super agi helidi anna,kannanda,
Lifestyle super guru,kannanda,
Adre ivaga beda. Ee COVID-19 ella mugibeku,kannanda,
Yappa huchhu hidustide.....asn.....awesom,kannanda,
ಅರ್ಜುನ್ ಜನ್ಯ ಅವರೇ ನೋಡಿ ಅಜನೀಶ್ ಲೋಕನಾಥ್ ಅತ್ರ ಹೋಗಿ ಮೂಸಿಕ್ ಮಾಡೋದನ್ನ ಕಲಿಯಿರಿ 🤣n#Odeya movie ಗೆ ಏನ್ ಮ್ಯೂಸಿಕ್ ಕೊಟ್ಟಿದಿಯ ಸ್ವಾಮಿ........... ತೂ 🤭🤭,kannanda,
ಯಪ್ಪಾ ನನ್ನ ಒಂದು ಕಾಮೆಂಟ್ 3ಕೆ ಲೈಕ್ ತಗೊಳ್ಳುತ್ತೆ.. ಆದರೆ ನನ್ನಂತ ಸಾಮಾನ್ಯ ಯೂಟ್ಯೂಬ್ ಚಾನಲ್ 3ಕೆ ಫಾಲೋವರ್ಸ್ ಮಾಡೋಕೆ ಕಷ್ಟ ಪಡ್ತಿದ್ದಿನಿ.. ನನ್ನ ಚಾನಲ್ ಅಭಿವೃದ್ದಿ ಮಾಡ್ತೀರಾ??,kannanda,
Difirent music & lirics,kannanda,
ನಿಮ್ಮ ಚಾನಲ್ ಗೆ subscribe ಆಗಿದಕ್ಕೆ ಕುಶಿ ಆಯಿತು,kannanda,
ಪ್ರಜ್ವಲ್ ದೇವರಾಜ್ sir is  back,kannanda,
ಸ್ವಾಭಿಮಾನದಿಂದ ಬದುಕೋದು ಮನುಷ್ಯನ ಅಸಲಿ ಗುಣ ಇದನ್ನು ಎಲ್ರು ಅಳವಡಿಸಿಕೊಳ್ಳಬೇಕು,kannanda,
ವಾವ್ ಸರ್ ನಿಮ್ಮ ಮಾತು ನೂರಕ್ಕೆ ನೂರು ಸತ್ಯ  ಸೂಪರ್ ಸರ್,kannanda,
niddeburak thumba ne strong iddane guru,kannanda,
ಸಾರ್ ಸಾರ್ಥಕ ಬದುಕು ನಿಮ್ಮದುnಸತ್ಯಶುದ್ಧ ಕಾಯಕ ನಿಮ್ಮದು,kannanda,
Super anna yenu thappila yela sari agi hellidira super,kannanda,
Signature move,kannanda,
#NAME?,kannanda,
@sharath sharu nin ammun tullge nayi mari tunne sigaka yako sule magne nin dagar sule maga adung adtiya,kannanda,
Vijay prakash sir super voice,kannanda,
Thu.... Gaandu.... Ninobba gandsa,kannanda,
Movie is too good,kannanda,
Anna super Anna,kannanda,
ravi chandra ಸಂಗ ಸ,kannanda,
Woooooooowwwwwwoooooooowwwwooo rakshith shetty bro,kannanda,
ಅಣ್ಣ ಇನ್ನೊಂದ್ ಸ್ವಲ್ಪ ಉಗಿರಿ ಅವರಿಗೆ ನಮ್ಮ ಯೋಧರ ಬಗ್ಗೆ ಚಿಂತನೆ ಮಾಡುತ್ತಿಲ್ಲ ತಿರುಬೋಕಿ ಇನ್ನು ಸ್ವಲ್ಪ ಚೆನ್ನಾಗಿ ಉಗಿರಿ ಅಣ್ಣ,kannanda,
Janapada in North karnatak,kannanda,
ತೊಗರಿ ತಿಪ್ಪಾ ಹಾಸ್ಯ ಚಟಾಕಿ ಮಸ್ತ ಐತಿ ರಿ,kannanda,
ಈ ಸಾಂಗ್ ಎಷ್ಟು ಅಡಿಕ್ಟ್ ಆಗಿದೆ ಅಂದ್ರೆ ಡೈಲಿ ಮಿನಿಮಮ್ 5 ರಿಂದ 6 ಸಲ ನೋಡ್ಬೇಕು ಅನ್ಸುತ್ತೆ....ನೀವೇನ್ ಅಂತೀರಾ,kannanda,
@AJITH S SHETTY appreciate madtaidane guru,kannanda,
100 ಕೋಟಿ ಫಾರ್ month or day haa anna,kannanda,
Nakkan idhu subject Andre eevag heltheeni industry change aagthide... Thousand times better than Jaatre films of sarjas...,kannanda,
Balasiddare Sir hands up anta,kannanda,
Rama rama tusu daksha jaripa‍,kannanda,
ನಿಜವಾದ ಕನ್ನಡಿಗ ಈ ರೀತಿ ಇಬ್ಬರು ನಟರ ಅಭಿಮಾನಿಗಳ ಮಧ್ಯ ತಂದಿಡೋ ಬದ್ಲು..... ಎಲ್ಲ ನಟರನ್ನೂ ಪ್ರೋತ್ಸಾಹಿಸ್ತಾನೆ.,kannanda,
Ganesh Bhat -ಇಷ್ಟ  ಅಸಭ್ಯವಾಗಿ ನಿನು ಬ್ರಾಹ್ಮಣನಾಗಿ ಮಾತಾಡುವದು ಸರಿ ಅಲ್ಲಾ. ಯಾರಿಗೆ ಮರಾಯ ನಿನ್ನ ಮನೆ ಮಜ್ಜಿಗೆ ಬೆಕಾಗಿದೆ,kannanda,
I hope salmaan vai didn't watch it,kannanda,
Hands... Up....,kannanda,
@Rohith K le nin dagar bandli agtavne modlu kudlu olskoloke yelu ella nin avnu musodilla🤣🤣,kannanda,
ಸೂಪರ್ ಸಾಂಗ್ ಆಲ್ ದಿ ಬೆಸ್ಟ್ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಅಣ್ಣ,kannanda,
@Reginald Kelly ಲೆ ತುಕಾಲಿ ನಿನ್ನ ಸಂಸ್ಕೃತಿ ತೋರಿಸುತ್ತೆ ನಿನ್ನ ಎಷ್ಟು ಕಚಡ ಅಂತ,kannanda,
Howdu brother nanu tv nalli nodidde evru elidnella avru elidru,kannanda,
HAI NANOO KOODA ...BHARATHnNANGU ASTE NIDDE ONDU DODDA KAYILE...AGIDE,kannanda,
a new milestone in kannada movie,kannanda,
Sir modalu namm Deshadalli Tustikaran rajakarana irorvaregu namm paristiti ide,kannanda,
Instagram fallow back kodi Nev obre alla eradu,kannanda,
Ashwathama ge korona bandru bandirabahudu...!,kannanda,
Namana Kudlada rakshith shetty innu orsbeku rashmikage Thu avla Janmake,kannanda,
Kannada super song,kannanda,
ಚೈನಾ ಟಿಕ್ ಟಾಕ್ ಯೂಸ್ ಮಾಡ್ಕೊಂಡು ಚೈನಾ ಬಗ್ಗೆ,kannanda,
Nam oorigu  bandidda. Nanu chicken biryani tinsi  kalsde,kannanda,
@Rajashekar Khandare ಕ್ರಷ್ಣನೇ ಶಾಪ ಕೊಡುವುದು ...ಮಯ್ಯಲ್ಲಿ ಕೀವು ತುಂಬಿ ಚಿರಂಜೀವಿ ಆಗಿ ತಿರುಗಾಡುತ್ತಾ ಇರು ಅಂತ....,kannanda,
Keli kadiruva bandhavarennBhuviyalli avana aritavarennYarilla bidi,kannanda,
ರಶ್ಮಿಕಾ ಗಿಂತ ಒಳ್ಳೆ ಹುಡುಗಿ ಸಿಗಲಿ ಒಳ್ಳೇದು ಅಗುಲಿ ನಿಮಗೆ,kannanda,
Super song guru,kannanda,
ನಂಗೆ ತುಂಬಾ ಬೇಜರಾಯಿತು ಒಂದು ಒಳ್ಳೆ ಸಿನಿಮಾ ಮಿಸ್ ಮಾಡ್ಕೊಂಡೆ ಅಂತ theater li ನೋಡಬೇಕಿತ್ತು.nI feel guilty,kannanda,
Jaathigalu ee deshada belavanigege athi dodda thodakaagide.,kannanda,
Super conceptnReally Prajwal Devaraj eetara cinema select madi madtare ankondirlilla super concept,kannanda,
@VARAPRASAD K K super bro,kannanda,
Heliro prati ondu point super brooo adrallu yaro obba yallo eno agidakke tiktok ban madavre anta helidnalla avnige saryagi uttara kottidira super nivu,kannanda,
Hodtha Guru sng,kannanda,
Hahah baari guru,kannanda,
Hindi version plzzz,kannanda,
U r great sir. ಶ್ರಮ ಜೀವಿ,kannanda,
सर आप लोगो से निवेदन है आप छत्तीसगढ़ मध्य्प्रदेश इस तरफ़ खुद की टाकीज खरीद लीजिये जिसमे सिर्फ साउथ की डब मूवी ही चलेगी आपसे रिक्वेस्ट है आप पैसा इन्वेस्ट करके दिखे छत्तीसगढ़ दुर्ग में तरुण बिग सिनेमा खाली हो रहा है आप दुर्ग में इन्वेस्ट कर सकते है nफिर क्या आप लोग धीरे धीरे पूरे हर जिलों में 1 सिनेमा घर आप अलॉट करते जाना फिर देखना आपकी हर मूवी को हम देख सकते है और अच्छा बिजनेस भी कर सकेगी,kannanda,
First India na America ke compare madtidru alli hangide ingide anta ivaga. India na China compare madtavre nnNav bari compare madtivi vartu namunyaru compare modo hage hogalla,kannanda,
ಕೆ ಜಿ ಎಪ್ ನಂತರ ಮತ್ತೂಂದು ಕನ್ನಡದ  ಹೆಮ್ಮೆ,kannanda,
Super songs,kannanda,
Good job bro.,kannanda,
En bgm guru chindi,kannanda,
Game name pls bro,kannanda,
Avalige chapalige odiri,kannanda,
Nam indiadallu tic tok thara app kandidobodu thane,kannanda,
Jai Hind  jai Karnatakan               AndnSuper song bro,kannanda,
Super super song,kannanda,
ಯೂಟ್ಯೂಬ್ನಲ್ಲಿ ದಿನನಿತ್ಯ ತುಂಬಾ ವಿಡಿಯೋಗಳು  ನೋಡಿದ್ದೆ  ಆದರೆ ನನಗೆ ತುಂಬಾ ಇಷ್ಟವಾದ ವಿಡಿಯೋ ಇದು. ತುಂಬಾ ಅದ್ಭುತವಾದ ಮಾತುಗಳು ಸರ್ ಆ ದೇವರು ನಿಮಗೆ ಇನ್ನೂ ಆಯಸ್ಸು ಆರೋಗ್ಯ ಹೆಚ್ಚು ಕೊಡಲಿ ಎಂದು ಪ್ರಾರ್ಥಿಸುತ್ತೇವೆ. ನಿಮ್ಮ ನಿಷ್ಕಲ್ಮಶವಾದ ಮನಸ್ಸು ನು ಯಾವತ್ತಿಗೂ ಆ ದೇವರು ಕೈ ಬಿಡುವುದಿಲ್ಲ ನಿಮಗೂ ನಿಮ್ಮ ಕುಟುಂಬದವರಿಗೂ ದಸರಾ ಹಾಗೂ ದೀಪಾವಳಿ ಹಬ್ಬದ ಶುಭಾಶಯಗಳು.... ಹಾಗೂ ಈ ವಿಡಿಯೋ ಮಾಡಿದ ಮಾಧ್ಯಮದವರಿಗೂ ದನ್ಯವಾದಗಳು,kannanda,
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,kannanda,
Kannada film  industry avaru sir solpa nodi rii yen madta ididra inta ashvath sir avara maga ondu sanni veshe dalli kalsa Kodi,kannanda,
🤣🤣🤣brooo I'm big fan,kannanda,
Sir social media bittu horgade thumba publicity beku dayavitu madi,kannanda,
Super super bro 🤣🤣,kannanda,
ಡಾ//ಶಂಭು ಬಳಿಗಾರರ ಮಾತು ಹುಗ್ಗಿ ಹಾಲು ಉಂಡಷ್ಟು ರುಚಿ... ನಾನು ಬಾಲ್ಯದಿಂದಲೇ ಅವರ ಈ ಹಾಸ್ಯ ಕಥೆಗಳನ್ನು ಕೇಳುತ್ತ ಬೆಳೆದವನು...,kannanda,
Most super song,kannanda,
U missed duniyaa movie,kannanda,
Tik Tok tune hunkondh hoeyhu Tik Tok madhuru china avaradhu tune unri🤣🤣🤣🤣🤣,kannanda,
KGF (chaffer 2) bega bara beku,kannanda,
super super super,kannanda,
Rakshit shetty Future superstar annoru Like madi,kannanda,
@VARAPRASAD K K balegaara banda nin Amman ge bale idsakke dagaar banda nin Amman keyyakke soole magne,kannanda,
Di(A)di nHuge fan from nTamilnadu,kannanda,
ಕೈನಲ್ ಏನೂ ಕೂಡಾ ಕಿಸಿಯೊಕೆ ಆಗದ ಕಿಡಿಗೇಡಿಗಳು ಬೆನ್ನ ಹಿಂದೆ ಬೆಂಕಿ ಹಚ್ಚಿ ನಗ್ತಾರೆ.. ಆದರೆ ಅವರಿಗೆಂಗೊತ್ತು ಆ ಬೆಂಕಿಲೆ  ಇಡೀ ವಿಶ್ವದಲ್ಲಿ  ಚರಿತ್ರೆ ಸೃಷ್ಟಿ ಮಾಡೋಕೆ ಅವನು ಬಂದೆ ಬರ್ತಾನೆ ಅಂತ ಯಾರವನು  ಅವನೇ ಶ್ರೀಮನ್ನಾರಾಯಣ,kannanda,
ಒಳ್ಳೆ ಐಡಿಯಾ ಕೊಟ್ಟಿದ್ದೀಯ ದುಡ್ಡು ಕಳ್ಕೊಂಡು ಜೀವ ಕಳಕೊಳ್ಳ ಪರಿಸ್ಥಿತಿ ಚಿರಂಜೀವಿ ಅಶ್ವಥಾಮ ಮಗೆ ಬರಬಹುದು ಈ ಅನುಭವ ನಮಗೆ ಆಗಿದೆ,kannanda,
ಮೊದ್ಲು ಡಿಲೀಟ್  ಮಾಡ್ರೋ ಯಾವನು ಯವಳು  ಹಾಕೊಂಡಿದೀರಾ tiktok ಲೇ ದೇಶದ್ರೋಹಿಗಳ ಡಿಲೀಟ್ ಮಾಡ್ರಲಾ ಚಪ್ಪರ್ಗಳ  ಚೀನಿ ಆಪ್ ಗಳು ಯಾವು ಇದಾವೆ ಎಲ್ಲಾ ಮಾಡ್ರೋ ಈ ವಿಡಿಯೋ ದಲ್ಲಿ ಕೆಲವೊಂದು ಕಚಡಗಳು ಮಾತಾಡಿದವಲ್ಲ ಅವು ದೇಶದ್ರೋಹಿಗಳು ಸುಟ್ಟಾಕ್ರೋ ಅವರ್ನೆಲ್ಲ,kannanda,
urkolli nodi avrella,kannanda,
Matte release made pakka reseve madkolthare navu hoge nodthive please,kannanda,
@prithvi nayak ಚಪ್ಪರ್ ಬೋಳಿಮಕ್ಳ.. ಲುಚ್ಛನ್ ಫ್ಯಾನ್ಸ್ ಬುದ್ದಿ ಎಲ್ಲಿಗೆ ಹೋಗುತ್ತೆ ಎಲ್ಲಿ ಹೋದ್ರು ಬರಿ ಉರ್ಕೋಳ್ಳೋದೇ �,kannanda,
Swag karenge sabka swagath...ek tha tiger  song copied music?,kannanda,
Rakshit boss Super dance u r looking like karate king shaankar nag ND Vishnuvardan boss m Vishnu sir fan,kannanda,
Tik tok  bevarsigalanna chaina   gadiyalli chaddiyalli bomb ettu chaina  kade  odisa beku avaga sari agutte,kannanda,
@Nandi Parthasarathi ಡಗಾರ್ ಸೂಳೆ ನಿನ್ ತುಲ್ಲಗೆ ಬಕಾರ್ಡಿ ಬಿಯರ್ ತುರ್ಕಾ,kannanda,
Super edit anna,kannanda,
@MOVIES BOX innu baiko..... naan yen avn fan alla🤣.... avn film fan ashte,kannanda,
Hindi song yavaga release madtira?,kannanda,
Shambu baligar avara maathaduva shaili super,kannanda,
Super. Guru.,kannanda,
Rashmika andre yaru guru nThukali sule edalala avle erboda,kannanda,
Nanagu hage ansate,kannanda,
ಎಲ್ಲರೂ HANDS UP ಸೈಲೆಂಟ್ ಆಗಿರಿ ಶ್ರೀ ಮನ್ನಾ ರಾಯನ ಬಂದವ್ನೆ...,kannanda,
Fab Trailer,kannanda,
ಸತ್ಯಕ್ಕೆ ದೂರವಾದ ವಿಚಾರ . ಯಾಕೆ ಸುಳ್ಳು ಹೇಳುತ್ತಾರಿ,kannanda,
Kalki Avathara(superb song),kannanda,
Rakshit shetty sir ge jai,kannanda,
ಒಬ್ರು ಹೋಗಿ ಫಿಲ್ಮ್ ನೋಡಲ್ಲ,kannanda,
I am feeling like,kannanda,
Suppar anna I am army boy,kannanda,
obba batta na gi. e rethi bare you du sare alla. namma darmmake.nave.......,kannanda,
Hero.heroin very good,kannanda,
Super bro,kannanda,
ಶಂಕರ್ ನಾಗ್ ಅವರ ಅಭಿನಯದ ಸಾಮ್ಯತೆ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಅವರಲ್ಲಿ ಕಾಣಬಹುದಾಗಿದೆ,kannanda,
Slow poisoning song,kannanda,
jai d boss,kannanda,
ದರ್ಶನ್ ಅಭಿಮಾನಿಗಳ ಕಡೆಯಿಂದ ಆಲ್ ದ ಬೆಸ್ಟ್ ಆಲ್ ದ ಬೆಸ್ಟ್,kannanda,
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,kannanda,
Super rakshith shetty,kannanda,
I like your comments,kannanda,
Wonderfull super amazing song superrrrrrrrr,kannanda,
ಬಿಟ್ಟ ಹೋಗಿರೋ ರಶ್ಮಿಕಾ ಗೆ ಹೇಗ್ ಆಗ್ಬೇಕು ಗೊತ್ತಾ ಯಾಕಾದ್ರೂ ಬಿಟ್ಟ ಹೋದೆ ರಕ್ಷಿತ ಅವರನ್ನ ಅಂತ ಫೀಲ್ ಆಗ್ಬೇಕು ಆ ತರಾ success ನಿಮ್ಮದಾಗಲಿ ಶ್ರೀನಮ್  ನಾರಾಯಣ ಸಿನಿಮಾ,kannanda,
I support your videos bro,kannanda,
Maddanappa Hosalli c,kannanda,
Edu charitre srustiso Avatara awdu annuvavaru like madi,kannanda,
Kannadada matthondu maligallu,kannanda,
ತುಂಬಾ ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ....proud to be sandal wood,kannanda,
Sakkatt agine   kyakirsi  ugdidira  sir,kannanda,
Sir.. 5paisa.com adara bagge video madi... Open madodhu hege and close madodhu hege antha... Plz sir,kannanda,
